Comparison	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WAC vs mock	hsa04060	Cytokine-cytokine receptor interaction	92/1021	295/8146	6.54295740845928E-18	2.10683228552389E-15	1.68739427902371E-15	6364/3593/1440/1437/3569/7124/6352/3559/4283/3553/64109/9560/6349/51561/3624/1236/282618/6351/3576/3456/246778/6373/2920/2921/2919/3627/6348/50604/8744/970/10148/6359/6346/3601/23529/3592/3552/85480/4049/3458/3575/6363/3586/3604/958/3600/9966/133396/149233/23495/6375/8743/5008/29949/650/6362/9235/3976/9180/3439/8807/56300/57007/6355/3574/26525/3606/3563/3557/5618/643/3554/355/8784/8718/10673/1435/27189/1233/3560/7293/6368/944/115650/60401/7852/2057/3603/8741/656/943/7048	92
WAC vs mock	hsa04064	NF-kappa B signaling pathway	47/1021	104/8146	1.21996766374681E-16	1.96414793863236E-14	1.5731161979893E-14	7124/3553/5743/9560/6351/3576/2920/2921/2919/4049/6363/7185/128178/7128/958/353376/330/4792/4616/1647/23586/4790/7706/4791/3383/8837/596/597/3554/1540/331/10673/598/329/8717/5970/1457/8737/115650/7535/148022/27040/60401/9020/10454/79092/142	47
WAC vs mock	hsa04668	TNF signaling pathway	48/1021	112/8146	7.78922207173504E-16	8.36043169032894E-14	6.69599792131609E-14	6364/1437/3569/7124/6352/3553/5743/3456/2920/2921/2919/3627/9021/1906/4049/3659/6401/7185/9586/7128/3600/330/4792/3976/1326/4790/602/90993/3383/5600/182/8837/3725/355/329/1435/841/840/8717/5970/843/5606/8737/468/2353/9020/10454/8772	48
WAC vs mock	hsa04621	NOD-like receptor signaling pathway	59/1021	184/8146	1.90521658777425E-12	1.53369935315827E-10	1.22836332632814E-10	3569/7124/6352/3553/3576/3456/2920/2921/2919/115361/9447/838/388646/115362/4210/2633/84557/10135/3665/7128/330/4792/4939/3439/2634/114769/4790/8767/3606/5027/4940/5600/837/5332/4938/2635/834/596/3725/10379/10392/331/6773/55072/7295/598/329/841/5970/10616/8737/29110/23236/148022/91662/6041/4671/10454/8772	59
WAC vs mock	hsa05417	Lipid and atherosclerosis	64/1021	215/8146	8.97781861133639E-12	5.78171518570064E-10	4.63066433637351E-10	3593/3569/7124/6352/4312/3553/6349/3576/3456/2920/2921/2919/6348/1543/3592/3310/6401/3665/958/353376/653361/4792/8743/6648/3303/3439/4790/3606/3383/5600/177/1573/5332/834/5451/596/3304/9619/3725/355/1649/6774/2081/5908/598/7494/841/840/5533/5970/3717/27035/6714/5606/29110/468/23236/148022/2353/3312/4775/10454/317/10451	64
WAC vs mock	hsa04061	Viral protein interaction with cytokine and cytokine receptor	37/1021	100/8146	2.95347197519947E-10	1.58502996002372E-08	1.26947479635767E-08	6364/3569/7124/6352/3559/4283/9560/6349/1236/6351/3576/6373/2920/2921/2919/3627/6348/50604/6359/6346/4049/6363/3586/6375/8743/29949/6362/8807/57007/6355/3606/643/1435/1233/3560/6368/7852	37
WAC vs mock	hsa05162	Measles	44/1021	139/8146	2.06922768335744E-09	9.51844734344423E-08	7.62347041236952E-08	3593/3569/3559/3553/3456/6504/3592/3552/3310/3665/7128/4792/4599/23586/64135/3303/4939/3439/3718/4600/6776/4790/4940/4938/5610/596/3304/3725/355/6774/10379/6773/598/841/8717/5970/3560/1457/29110/27113/2353/3312/317/8772	44
WAC vs mock	hsa05134	Legionellosis	25/1021	57/8146	3.93892814316427E-09	1.58541857762362E-07	1.26978604615164E-07	3593/3569/7124/3553/3576/2920/2921/2919/1379/3592/3310/4792/3303/4790/3606/4791/834/3304/841/840/5970/3312/4671/317/7100	25
WAC vs mock	hsa04620	Toll-like receptor signaling pathway	35/1021	104/8146	1.60497315365672E-08	5.74223728308292E-07	4.59904587889937E-07	3593/3569/7124/6352/4283/3553/9560/6349/6351/3576/3456/6373/3627/6348/3592/941/3665/958/353376/4792/3439/1326/4790/5600/3725/841/5970/5606/8737/29110/148022/2353/10454/8772/7100	35
WAC vs mock	hsa04210	Apoptosis	40/1021	136/8146	1.09792466070202E-07	3.53531740746049E-06	2.83148991444204E-06	7124/5366/3002/7185/330/4792/4616/1647/8743/4790/5551/3563/8837/596/597/3725/51807/355/1649/2081/331/598/329/841/840/8717/10018/5970/843/4170/8737/4001/468/27113/2353/5783/9020/317/8772/142	40
WAC vs mock	hsa04622	RIG-I-like receptor signaling pathway	26/1021	70/8146	1.20788014437971E-07	3.53579460445698E-06	2.83187210883282E-06	3593/7124/3576/3456/3627/9636/3592/3665/4792/23586/64135/79132/3439/4790/7706/5600/1540/841/8717/5970/843/8737/29110/8772/54941/80143	26
WAC vs mock	hsa05169	Epstein-Barr virus infection	52/1021	202/8146	1.82936837853702E-07	4.90880514907432E-06	3.9315373047506E-06	3569/7124/3456/3627/3280/9636/3665/7128/958/4792/4616/1647/3112/23586/864/4939/3439/3718/4790/4791/4940/3383/5600/3134/4938/5610/596/3725/355/6774/10379/6891/6773/960/841/8717/10018/5970/7431/5606/9541/8737/29110/8900/4794/6502/9020/1870/10454/317/8772/3111	52
WAC vs mock	hsa05164	Influenza A	46/1021	171/8146	2.3729296890826E-07	5.87756430680461E-06	4.70743136700598E-06	3593/3569/7124/6352/3553/3576/3456/91543/3627/9021/3592/3552/3458/3665/4792/8743/4599/3112/23586/64135/5371/4939/3439/4600/4790/7706/3606/4940/3383/4938/834/5610/355/10379/10482/6773/841/8717/5970/3717/29110/148022/6041/317/8772/3111	46
WAC vs mock	hsa04630	JAK-STAT signaling pathway	44/1021	162/8146	3.23090198896202E-07	7.43107457461264E-06	5.95166155861425E-06	3593/1440/1437/3569/3559/64109/51561/282618/3456/50604/9021/3601/6775/3592/85480/3458/3575/8651/8835/3586/5155/3600/149233/5008/29949/3976/9180/3439/3718/6776/3574/5292/3563/5618/596/6774/5771/10379/6773/598/3717/3560/4170/2057	44
WAC vs mock	hsa04657	IL-17 signaling pathway	30/1021	94/8146	6.29145961340173E-07	1.35056666367691E-05	1.08168954756732E-05	6364/1440/1437/3569/7124/4312/3553/5743/3576/2920/2921/2919/3627/3458/7128/4792/4790/5600/3725/2354/841/8061/27189/8717/5970/10758/29110/9618/2353/8772	30
